date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:58	100110/100110	---M--	200	added ('OK')	image/jpeg	etag:%2262400445-1870e%22	https://templates.hibootstrap.com/pily/default/assets/images/about-main2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/about-main2.jpg	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:58	78497/78497	---M--	200	added ('OK')	image/jpeg	etag:%2262400464-14678%22	https://templates.hibootstrap.com/pily/default/assets/images/events/events4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/events/events4.jpg	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:58	89618/89618	---M--	200	added ('OK')	image/jpeg	etag:%2262400464-15e12%22	https://templates.hibootstrap.com/pily/default/assets/images/events/events5.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/events/events5.jpg	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:59	114828/114828	---M--	200	added ('OK')	image/jpeg	etag:%2262400465-1db3b%22	https://templates.hibootstrap.com/pily/default/assets/images/events/events6.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/events/events6.jpg	(from https://templates.hibootstrap.com/pily/default/index-2.html)
18:22:59	155232/155232	---M--	200	added ('OK')	image/png	etag:%226240045f-25e60%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main6.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main6.png	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:00	123764/123764	---M--	200	added ('OK')	image/png	etag:%226240045f-1e374%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main7.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main7.png	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:00	181395/181395	---M--	200	added ('OK')	image/png	etag:%226240045e-2c493%22	https://templates.hibootstrap.com/pily/default/assets/images/banner/banner-main5.png	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/banner/banner-main5.png	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:00	382190/382190	---M--	200	added ('OK')	image/jpeg	etag:%2262400448-65331%22	https://templates.hibootstrap.com/pily/default/assets/images/live-main2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/live-main2.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:00	189562/189562	---M--	200	added ('OK')	image/jpeg	etag:%2262400445-2e47a%22	https://templates.hibootstrap.com/pily/default/assets/images/about-main3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/about-main3.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:00	156926/156926	---M--	200	added ('OK')	image/jpeg	etag:%2262400445-28c03%22	https://templates.hibootstrap.com/pily/default/assets/images/campaign1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/campaign1.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
